DATE,LAT,LON,T2M
01-01-2016,28.5,77.5,16.25
02-01-2016,28.5,77.5,15.19
03-01-2016,28.5,77.5,15.4
04-01-2016,28.5,77.5,17.38
05-01-2016,28.5,77.5,20.21
06-01-2016,28.5,77.5,18.48
07-01-2016,28.5,77.5,18.62
08-01-2016,28.5,77.5,18.51
09-01-2016,28.5,77.5,15.17
10-01-2016,28.5,77.5,16.05
11-01-2016,28.5,77.5,17.89
12-01-2016,28.5,77.5,16.95
13-01-2016,28.5,77.5,16.19
14-01-2016,28.5,77.5,14.41
15-01-2016,28.5,77.5,13.27
16-01-2016,28.5,77.5,12.97
17-01-2016,28.5,77.5,13.87
18-01-2016,28.5,77.5,14.03
19-01-2016,28.5,77.5,12.98
20-01-2016,28.5,77.5,11.59
21-01-2016,28.5,77.5,11.56
22-01-2016,28.5,77.5,12.98
23-01-2016,28.5,77.5,14.34
24-01-2016,28.5,77.5,12.66
25-01-2016,28.5,77.5,12.03
26-01-2016,28.5,77.5,15.72
27-01-2016,28.5,77.5,16.46
28-01-2016,28.5,77.5,16.48
29-01-2016,28.5,77.5,18.63
30-01-2016,28.5,77.5,19.67
31-01-2016,28.5,77.5,18.39
01-02-2016,28.5,77.5,15.44
02-02-2016,28.5,77.5,13.84
03-02-2016,28.5,77.5,13.88
04-02-2016,28.5,77.5,14.71
05-02-2016,28.5,77.5,15.78
06-02-2016,28.5,77.5,17.16
07-02-2016,28.5,77.5,16.03
08-02-2016,28.5,77.5,15.74
09-02-2016,28.5,77.5,16.59
10-02-2016,28.5,77.5,17.39
11-02-2016,28.5,77.5,17.11
12-02-2016,28.5,77.5,16.49
13-02-2016,28.5,77.5,17.22
14-02-2016,28.5,77.5,16.3
15-02-2016,28.5,77.5,15.17
16-02-2016,28.5,77.5,16.69
17-02-2016,28.5,77.5,19.2
18-02-2016,28.5,77.5,22.32
19-02-2016,28.5,77.5,23.37
20-02-2016,28.5,77.5,22.49
21-02-2016,28.5,77.5,20.32
22-02-2016,28.5,77.5,19.71
23-02-2016,28.5,77.5,19.83
24-02-2016,28.5,77.5,22.19
25-02-2016,28.5,77.5,21.83
26-02-2016,28.5,77.5,22.23
27-02-2016,28.5,77.5,22.84
28-02-2016,28.5,77.5,23.43
29-02-2016,28.5,77.5,23.55
01-03-2016,28.5,77.5,24.24
02-03-2016,28.5,77.5,25.88
03-03-2016,28.5,77.5,25.29
